element,name,pos,round,total_points,roll_clean_sheets_p90,roll_yellow_cards_p90,roll_bps_p90,roll_creativity_p90,roll_threat_p90,roll_defensive_contribution_p90,roll_expected_goals_p90,roll_expected_assists_p90,roll_expected_goals_conceded_p90,roll_goal_overperf_p90,roll_assist_overperf_p90,roll_goal_conceded_overperf_p90,roll_minutes,roll_value,roll_transfers_balance,roll_selected,was_home,opponent_team
136,Thiago,FWD,11,13,0.18,0.18,23.88,5.9,45.55,5.51,0.63,0.01,1.31,0.11,-0.01,0.34,81.67,60.67,128656.17,470439.17,True,15
136,Thiago,FWD,12,4,0.17,0.17,31.22,5.76,50.23,5.58,0.78,0.01,1.14,0.26,-0.01,0.08,86.0,61.0,139056.5,616706.0,False,6
136,Thiago,FWD,13,13,0.17,0.17,22.28,7.05,51.35,6.62,0.96,0.02,1.01,-0.09,-0.02,0.38,86.17,61.67,239627.67,872802.0,True,3
136,Thiago,FWD,14,1,0.17,0.17,27.83,6.53,56.67,6.67,1.0,0.02,0.99,0.16,-0.02,0.35,90.0,62.67,379494.83,1318870.33,False,1
136,Thiago,FWD,15,2,0.0,0.19,25.87,7.86,46.88,6.94,0.97,0.02,1.27,0.16,-0.02,0.42,80.0,63.67,394612.0,1714138.67,False,18
136,Thiago,FWD,16,2,0.0,0.0,23.62,7.59,38.81,6.56,0.81,0.02,1.25,0.12,-0.02,0.44,80.0,64.83,464572.83,2181136.0,True,11
136,Thiago,FWD,17,2,0.0,0.0,23.06,5.98,38.06,6.56,0.81,0.02,1.4,0.12,-0.02,0.1,80.0,66.33,636698.5,2834596.83,False,20
136,Thiago,FWD,18,5,0.19,0.0,13.12,5.94,27.75,5.62,0.59,0.02,1.56,-0.03,-0.02,-0.25,80.0,68.0,599846.33,3431340.5,True,4
136,Thiago,FWD,19,2,0.19,0.0,15.38,9.08,23.44,4.5,0.31,0.05,1.84,0.07,0.13,-0.72,80.0,69.17,345864.5,3737134.33,True,18
136,Thiago,FWD,20,17,0.38,0.0,7.12,9.68,12.56,3.94,0.12,0.05,1.85,-0.12,0.13,-0.92,80.0,69.83,149463.83,3805538.33,False,9
136,Thiago,FWD,21,12,0.33,0.0,21.33,7.73,26.83,3.5,0.4,0.05,1.59,0.1,0.11,-0.59,90.0,70.17,62706.5,3879108.33,True,17
